College Name,CosmeticApprentice_NumTest2017,CosmeticApprentice_PCTPassing2017,CosmeticApprentice_PCTPassing2016,CosmeticApprentice_PCTPassing2015,CosmeticApprentice_PCTPassing2014,Cosmetology_NumTest2017,Cosmetology_PCTPassing2017,Cosmetology_PCTPassing2016,Cosmetology_PCTPassing2015,Cosmetology_PCTPassing2014,Esthetician_NumTest2017,Esthetician_PCTPassing2017,Esthetician_PCTPassing2016,Esthetician_PCTPassing2015,Esthetician_PCTPassing2014,CosmeticInstructor_NumTest2017,CosmeticInstructor_PCTPassing2017,CosmeticInstructor_PCTPassing2016,CosmeticInstructor_PCTPassing2015,CosmeticInstructor_PCTPassing2014,Manicurist_NumTest2017,Manicurist_PCTPassing2017,Manicurist_PCTPassing2016,Manicurist_PCTPassing2015,Manicurist_PCTPassing2014
Craven CC,5,60% 100% 100%,,,*,12,75%,92%,83%,56%,7,86%,75%,*,83%,,*,*,*,*,1,*,*,*,71%
Davidson County CC,,*,*,*,*,9,100%,100%,96%,96%,7,100%,88%,92%,89%,,*,*,*,*,,*,*,*,*
Durham TCC,,*,*,*,*,,*,*,*,*,17,94%,88% 100% 100%,,,,*,*,*,*,,*,*,*,*
Edgecombe CC,,*,*,*,*,10,90%,60%,55% 100%,,3,*,*,100%,*,,*,*,*,*,,*,*,*,*
Fayetteville TCC,,*,*,*,*,19,74%,94%,94%,93%,22,82% 100%,,84%,88%,1,*,*,*,*,24,92%,71%,81%,89%
Forsyth TCC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Gaston College,,*,*,*,*,31,87%,96%,83%,96%,,*,*,*,*,1,*,*,*,*,,*,*,*,*
Guilford TCC,4,*,100%,*,*,12,100%,86%,92% 100%,,,*,*,*,*,,*,*,*,*,,*,*,*,*
Halifax CC,,*,*,*,*,5,80%,88% 100%,,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Haywood CC,,*,*,*,*,4,*,86% 100%,,94%,,*,*,*,*,,*,*,*,*,,*,*,100%,*
Isothermal CC,1,*,*,*,100%,2,*,100% 100% 100%,,,,*,*,*,*,,*,*,*,*,8,100%,80%,83%,*
James Sprunt CC,1,*,*,*,*,6,67%,*,83%,*,,*,*,*,*,,*,*,*,*,1,*,*,*,*
Johnston CC,,*,*,*,*,14,93% 100%,,95%,94%,,*,*,*,*,,*,*,*,*,2,*,*,60%,80%
Lenoir CC,4,*,85%,91%,80%,56,66%,79%,68%,70%,6,67%,*,*,100%,4,*,*,*,*,23,70%,67%,72%,57%
Martin CC,,*,*,*,*,6,83%,67%,*,100%,,*,*,*,*,,*,*,*,*,,*,*,*,*
Mayland CC,1,*,*,100%,*,4,*,100% 100%,,90%,,*,*,*,*,,*,*,*,*,1,*,*,*,*
McDowell TCC,,*,*,*,*,9,89%,90% 100%,,88%,6,100%,100% 100% 100%,,,1,*,*,*,*,,*,*,*,*
Mitchell CC,,*,*,*,*,13,77% 100%,,92%,92%,5,80%,*,*,*,,*,*,*,*,10,70%,*,*,*
Montgomery CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Nash CC,2,*,*,100%,*,5,60%,*,60%,82%,,*,*,*,*,1,*,*,80%,*,5,100%,100%,*,*
Pamlico CC,,*,*,*,*,3,*,*,*,*,1,*,*,*,*,,*,*,*,*,,*,*,*,*
Piedmont CC,4,*,*,*,*,2,*,100%,*,82%,,*,*,*,*,,*,*,*,*,,*,*,*,*
Pitt CC,,*,*,*,*,,*,100%,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Randolph CC,3,*,*,100%,*,6,100%,100% 100%,,92%,,*,*,*,*,1,*,*,*,*,4,*,*,*,*
Richmond CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Roanoke-Chowan CC,,*,*,*,*,6,17%,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Robeson CC,,*,*,*,*,9,100%,89%,83%,92%,,*,*,*,*,,*,*,*,*,,*,*,*,*
Rockingham CC,,*,*,*,*,6,83%,92%,*,91%,,*,*,*,*,,*,*,*,*,,*,*,*,*
Rowan-Cabarrus CC,,*,*,100% 100%,,41,90%,86%,94%,95%,21,81%,86%,92% 100%,,3,*,*,*,*,10,70%,*,*,100%
Sampson CC,,*,*,*,*,1,*,56%,92% 100%,,,*,*,*,*,,*,*,*,*,,*,*,*,*
Sandhills CC,13,85% 100% 100%,,,92%,5,100%,91%,88%,89%,,*,*,*,*,,*,*,*,*,,*,*,*,*
South Piedmont CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Southeastern CC,,*,*,*,*,8,100%,*,100% 100%,,,*,*,*,*,,*,*,*,*,,*,*,*,*
Southwestern CC,,*,*,*,*,28,89% 100%,,86% 100%,,,*,*,*,*,,*,*,*,*,,*,*,*,*
Stanly CC,,*,*,*,*,21,62%,91%,93%,86%,,*,*,*,*,1,*,*,*,*,10,90%,*,100%,79%
Surry CC,,*,*,*,*,23,100%,94%,96% 100%,,,*,*,*,*,,*,*,*,*,,*,*,*,*
Tri-County CC,,*,*,*,*,5,80%,86% 100%,,89%,5,80%,80%,*,*,,*,*,*,*,,*,*,*,*
Vance-Granville CC,5,100%,100%,71%,83%,12,83% 100%,,81%,80%,,*,*,*,*,1,*,*,*,*,,*,100%,*,*
Wake TCC,,*,*,*,*,25,92%,94%,96%,96%,19,100%,93% 100%,,95%,,*,*,*,*,30,70%,*,80%,*
Wayne CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Western Piedmont CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Wilkes CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Wilson CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
