,DENTAL HYGIENE**,,,,,PHYSICAL THERAPIST ASST.,,,,,PRACTICAL NURSING,,,,,REGISTERED NURSING,,,,,,VET. MED. TECH.,,,
Coastal Carolina CC,12,100%,93%,92% 100%,,,*,*,*,*,17,88%,94%,89%,94%,27,96%,89%,90%,91%,,*,*,*,*
College of The Albemarle,,*,*,*,*,,*,*,*,*,16,100%,89%,96% 100%,,20,100%,97% 100% 100%,,,,*,*,*,*
Craven CC,,*,*,*,*,17,82% 100%,,88%,82%,10,100%,92% 100%,,89%,38,92%,93%,94%,82%,,*,*,*,*
Davidson County CC,,*,*,*,*,,*,*,*,*,13,92% 100%,,88%,94%,47,98%,96%,89%,85%,,*,*,*,*
Durham TCC,,*,*,*,*,,*,*,*,*,38,97% 100% 100%,,,94%,68,76%,75%,86%,88%,,*,*,*,*
Edgecombe CC,,*,*,*,*,,*,*,*,*,11,100%,100% 100% 100%,,,36,78%,83%,83%,96%,,*,*,*,*
Fayetteville TCC,21,90%,94%,94% 100%,,14,93%,88%,81%,92%,39,95%,85%,95%,86%,42,100%,91%,95%,74%,,*,*,*,*
Forsyth TCC,10,60% 100%,,92% 100%,,,*,*,*,*,73,92%,96%,95%,97%,107,95%,95%,96%,94%,,*,*,*,*
Gaston College,,*,*,*,*,,*,*,*,*,52,100%,100%,98% 100%,,65,98% 100%,,93%,95%,16,100%,100% 100%,,94%
Guilford TCC,17,94%,84%,88% 100%,,19,95%,*,100% 100%,,22,86% 100%,,82%,76%,88,85%,94%,87%,79%,,*,*,*,*
Halifax CC,20,65%,81%,77%,83%,,*,*,*,*,5,80%,71%,60%,92%,7,100%,86%,68%,68%,,*,*,*,*
Haywood CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,25,92%,85%,82%,48%,,*,*,*,*
Isothermal CC,,*,*,*,*,,*,*,*,*,16,100%,63%,80%,81%,19,95% 100%,,80%,89%,,*,*,*,*
James Sprunt CC,,*,*,*,*,,*,*,*,*,8,100%,100% 100% 100%,,,16,94%,93%,63%,89%,,*,*,*,*
Johnston CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,41,98% 100% 100%,,,94%,,*,*,*,*
Lenoir CC,,*,*,*,*,,*,*,*,*,6,100%,100% 100% 100%,,,22,95% 100%,,96% 100%,,,*,*,*,*
Martin CC,,*,*,*,*,13,85%,70%,90%,75%,,*,*,*,*,,*,*,*,*,,*,*,*,*
Mayland CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,18,94%,82%,93%,85%,,*,*,*,*
McDowell TCC,,*,*,*,*,,*,*,*,*,23,91%,97%,97%,97%,21,81% 100%,,88%,83%,,*,*,*,*
Mitchell CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,32,100%,97%,97% 100%,,,*,*,*,*
Montgomery CC,,*,*,*,*,,*,*,*,*,31,97%,83%,80%,*,,*,*,*,*,,*,*,*,*
Nash CC,,*,*,*,*,15,93% 100%,,95% 100%,,11,82%,78%,71%,89%,24,88%,86%,67%,84%,,*,*,*,*
Pamlico CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*,,*,*,*,*
Piedmont CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,26,65%,81%,93%,64%,1,*,*,*,*
Pitt CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,91,92%,90%,90%,89%,,*,*,*,*
Randolph CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,15,93%,79%,92%,97%,,*,*,*,*
Richmond CC,,*,*,*,*,,*,*,*,*,10,100%,100%,90%,69%,28,100%,90%,86%,96%,,*,*,*,*
Roanoke-Chowan CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,9,78%,64%,92%,57%,,*,*,*,*
Robeson CC,,*,*,*,*,,*,*,*,*,16,100%,100% 100%,,88%,21,100%,100% 100%,,83%,,*,*,*,*
Rockingham CC,,*,*,*,*,,*,*,*,*,13,92% 100%,,88%,88%,16,88% 100% 100%,,,75%,,*,*,*,*
Rowan-Cabarrus CC,,*,*,*,*,,*,*,*,*,11,100%,100% 100% 100%,,,48,88%,95%,84%,83%,,*,*,*,*
Sampson CC,,*,*,*,*,,*,*,*,*,15,100%,100% 100% 100%,,,29,83%,94%,92%,90%,,*,*,*,*
Sandhills CC,,*,*,*,*,,*,*,*,*,,*,*,*,100%,61,92% 100%,,92%,98%,,*,*,*,*
South Piedmont CC,,*,*,*,*,,*,*,*,*,14,93%,90%,92% 100%,,27,89%,96%,95%,83%,,*,*,*,*
Southeastern CC,,*,*,*,*,,*,*,*,*,14,100%,97% 100%,,88%,24,83%,75% 100%,,73%,,*,*,*,*
Southwestern CC,,*,*,*,*,12,100%,100% 100% 100%,,,,*,*,*,*,22,82%,96%,88%,75%,,*,*,*,*
Stanly CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,42,88%,90%,94% 100%,,,*,*,*,*
Surry CC,,*,*,*,*,14,93% 100%,,94%,63%,10,100%,100%,*,100%,42,95%,96%,98%,85%,,*,*,*,*
Tri-County CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,8,63%,80%,71%,85%,2,*,*,*,*
Vance-Granville CC,,*,*,*,*,,*,*,*,*,16,88%,91%,70%,*,41,88%,90%,85%,88%,,*,*,*,*
Wake TCC,24,75%,90%,93%,87%,,*,*,*,*,,*,*,*,*,112,98%,97%,98%,95%,,*,*,*,*
Wayne CC,28,82%,88%,89%,79%,,*,*,*,*,17,100%,100%,93% 100%,,27,93% 100%,,93%,86%,,*,*,*,*
Western Piedmont CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,24,100%,93%,96%,76%,,*,*,*,*
Wilkes CC,,*,*,*,*,,*,*,*,*,,*,*,*,*,27,63%,90%,90%,92%,,*,*,*,*
Wilson CC,,*,*,*,*,,*,*,*,*,16,100%,100% 100% 100%,,,39,97%,88%,84%,94%,,*,*,*,*
