,-15,,16-17,,18,,19-24,,25-39,,40+,,-15,,16-17,,18,,19-24,,25-39,,40+,
Fayetteville TCC,5,60%,340,67%,445,41%,604,33%,390,35%,181,34%,83%,63%,68%,65%,38%,38%,30%,29%,31%,42%,36%,36%
Forsyth TCC,109,84%,206,58%,698,43%,568,32%,222,32%,163,36%,66%,70%,64%,65%,42%,44%,30%,34%,35%,40%,32%,46%
Gaston College,45,47%,329,60%,408,44%,319,30%,134,31%,131,37%,61%,44%,63%,60%,42%,45%,21%,29%,28%,32%,37%,28%
Guilford TCC,30,80%,251,59%,913,44%,827,34%,273,38%,154,30%,75%,90%,55%,45%,42%,43%,30%,34%,38%,41%,34%,43%
Halifax CC,8,75%,36,50%,89,39%,106,24%,48,23%,26,35%,*,63%,59%,62%,36%,34%,31%,31%,27%,36%,48%,36%
Haywood CC,134,39%,126,48%,106,49%,59,53%,29,45%,25,60%,42%,23%,41%,38%,38%,53%,30%,32%,45%,55%,41%,34%
Isothermal CC,100,64%,216,48%,98,36%,65,29%,41,24%,32,31%,56%,61%,47%,38%,31%,42%,29%,37%,21%,38%,25%,37%
James Sprunt CC,78,76%,82,59%,46,43%,52,35%,39,46%,20,40%,83%,70%,56%,55%,45%,45%,24%,43%,49%,34%,46%,53%
Johnston CC,65,77%,138,43%,209,49%,170,44%,87,47%,85,49%,74%,56%,50%,44%,49%,45%,29%,29%,43%,33%,34%,34%
Lenoir CC,128,55%,297,48%,170,42%,131,24%,58,29%,28,21%,49%,45%,51%,48%,34%,43%,29%,33%,25%,33%,27%,43%
Martin CC,48,44%,37,35%,41,37%,40,35%,24,33%,17,18%,60%,47%,35%,48%,29%,39%,31%,43%,21%,32%,56%,31%
Mayland CC,125,39%,88,53%,31,39%,21,52%,25,56%,6,67%,44%,41%,37%,40%,38%,32%,44%,39%,40%,56%,59%,60%
McDowell TCC,36,89%,58,41%,57,44%,44,23%,26,23%,19,21%,69%,52%,43%,60%,26%,37%,35%,19%,18%,23%,39%,33%
Mitchell CC,125,74%,275,66%,263,47%,153,33%,104,38%,48,35%,67%,66%,76%,68%,46%,37%,32%,25%,39%,31%,33%,37%
Montgomery CC,4,*,27,30%,26,46%,20,55%,9,33%,13,77%,62%,31%,47%,36%,68%,68%,29%,58%,25%,33%,37%,44%
Nash CC,103,53%,312,51%,230,45%,132,32%,47,13%,29,31%,53%,39%,52%,52%,43%,44%,29%,28%,45%,33%,42%,48%
Pamlico CC,32,72%,47,57%,11,55%,13,8%,4,*,4,*,52%,61%,40%,44%,29%,9%,36%,50%,79%,68%,56%,74%
Piedmont CC,83,41%,181,43%,64,41%,47,26%,27,26%,33,36%,44%,48%,54%,50%,45%,52%,36%,27%,42%,32%,28%,39%
Pitt CC,34,29%,235,49%,536,44%,357,39%,85,39%,57,39%,39%,36%,49%,52%,41%,47%,32%,32%,36%,42%,22%,35%
Randolph CC,73,74%,98,45%,169,47%,173,33%,76,39%,66,38%,65%,73%,43%,51%,36%,42%,28%,28%,32%,33%,43%,57%
Richmond CC,30,97%,65,74%,127,44%,123,36%,60,38%,31,32%,84%,70%,51%,64%,46%,50%,29%,34%,38%,37%,48%,56%
Roanoke-Chowan CC,24,75%,9,33%,33,24%,43,42%,27,33%,13,38%,54%,63%,65%,31%,57%,50%,43%,58%,27%,64%,46%,60%
Robeson CC,19,84%,50,52%,163,24%,169,20%,67,36%,26,15%,*,60%,32%,72%,28%,34%,24%,31%,41%,38%,31%,44%
Rockingham CC,58,76%,81,46%,204,49%,129,30%,40,33%,34,38%,55%,60%,52%,53%,40%,40%,33%,30%,31%,45%,26%,32%
Rowan-Cabarrus CC,128,67%,197,48%,433,45%,357,29%,148,36%,94,31%,73%,66%,50%,46%,40%,41%,25%,25%,27%,31%,27%,31%
Sampson CC,26,62%,82,68%,78,50%,82,29%,27,26%,24,29%,71%,92%,75%,71%,68%,52%,25%,30%,40%,43%,62%,39%
Sandhills CC,6,83%,145,54%,241,51%,178,29%,78,32%,40,20%,80%,76%,62%,65%,42%,40%,36%,30%,32%,31%,24%,31%
South Piedmont CC,89,69%,101,51%,135,33%,133,26%,63,29%,53,32%,50%,60%,48%,66%,34%,38%,22%,28%,24%,37%,36%,51%
Southeastern CC,14,57%,39,56%,130,35%,84,29%,31,26%,10,20%,55%,49%,44%,49%,41%,39%,18%,23%,31%,31%,29%,13%
Southwestern CC,143,54%,104,49%,94,53%,80,28%,44,36%,34,32%,50%,48%,45%,49%,46%,46%,32%,24%,38%,46%,37%,41%
Stanly CC,42,74%,65,63%,182,39%,123,37%,58,29%,35,34%,38%,47%,75%,71%,48%,40%,31%,43%,39%,44%,46%,44%
Surry CC,128,51%,123,48%,202,45%,81,23%,34,21%,22,9%,57%,49%,34%,45%,41%,50%,31%,19%,36%,40%,19%,36%
Tri-County CC,52,69%,87,49%,38,37%,30,27%,33,24%,17,35%,70%,67%,54%,61%,36%,42%,23%,24%,35%,33%,50%,44%
Vance-Granville CC,250,58%,156,55%,276,38%,193,30%,71,27%,49,37%,57%,42%,45%,45%,38%,39%,31%,28%,38%,28%,46%,29%
Wake TCC,90,76%,503,63%,1356,50%,1061,41%,364,38%,238,44%,74%,70%,59%,56%,48%,47%,36%,33%,39%,34%,36%,34%
Wayne CC,74,76%,108,66%,246,48%,175,35%,81,43%,41,37%,73%,81%,68%,73%,50%,50%,37%,34%,48%,54%,45%,49%
Western Piedmont CC,8,88%,135,61%,160,43%,114,29%,47,28%,24,17%,100%,80%,64%,58%,50%,50%,23%,23%,23%,40%,25%,33%
Wilkes CC,12,58%,132,55%,210,51%,64,47%,33,45%,16,38%,44%,34%,65%,64%,39%,41%,26%,32%,41%,29%,35%,37%
Wilson CC,63,76%,71,49%,77,40%,90,32%,32,25%,17,41%,60%,62%,49%,65%,29%,47%,38%,31%,53%,36%,32%,34%
