,AFRICAN-AMER FEMALE,,AFRICAN-AMERIC MALE,,CAUCASIAN FEMALE,,CAUCASIAN MALE,,HISPANIC FEMALE,,HISPANIC MALE,,OTHER FEMALE,,OTHER MALE,
Southeastern CC,71,17%,43,26%,87,48%,78,46%,4,*,1,*,10,30%,14,14%
Southwestern CC,0,*,2,*,216,52%,188,41%,18,39%,13,38%,36,39%,26,38%
Stanly CC,28,25%,28,21%,214,46%,133,40%,9,78%,16,25%,41,61%,36,47%
Surry CC,8,38%,11,9%,237,43%,236,40%,40,58%,31,35%,14,50%,13,15%
Tri-County CC,1,*,0,*,113,50%,127,43%,2,*,1,*,9,33%,4,*
Vance-Granville CC,243,43%,159,38%,255,51%,222,41%,25,44%,27,30%,36,44%,28,39%
Wake TCC,417,48%,471,33%,864,54%,994,51%,202,45%,166,45%,262,53%,236,48%
Wayne CC,129,47%,94,29%,208,56%,184,47%,33,55%,32,63%,25,56%,20,75%
Western Piedmont CC,23,35%,20,20%,208,41%,168,41%,8,63%,15,47%,23,61%,23,61%
Wilkes CC,15,33%,7,57%,219,49%,196,57%,11,18%,14,50%,4,*,1,*
Wilson CC,105,41%,53,25%,76,47%,63,54%,20,50%,12,67%,10,70%,11,64%
* Less than 5 students,,,,,,,,,,,,,,,,
