College Name,HighAdultSecEd_Participant_POP_MSG,HighAdultSecEd_IndividualsServed,HighAdultSecEd_Participants12+ Hours,HighAdultSecEd_Particip/Served,HighAdultSecEd_POPs,HighAdultSecEd_AHSGrad,HighAdultSecEd_HSE,HighAdultSecEd_Postsecondary,HighAdultSecEd_AHSCredits,HighAdultSecEd_Posttest,HighAdultSecEd_MSG
Fayetteville TCC,30.90%,443,433,97.70%,434,1.20%,2.80%,27.00%,0.00%,0.00%,30.90%
Forsyth TCC,17.70%,199,138,69.30%,141,10.60%,7.10%,0.00%,0.00%,0.00%,17.70%
Gaston College,28.20%,160,147,91.90%,149,16.10%,12.10%,0.00%,0.00%,0.00%,28.20%
"Gaston Literacy Council, Inc.",*,1,1,100.00%,1,*,*,*,*,*,*
Guilford TCC,28.10%,140,113,80.70%,114,4.40%,21.10%,2.60%,0.00%,0.00%,28.10%
Halifax CC,15.90%,46,44,95.70%,44,0.00%,15.90%,0.00%,0.00%,0.00%,15.90%
Haywood CC,42.90%,85,35,41.20%,35,11.40%,28.60%,2.90%,0.00%,0.00%,42.90%
Isothermal CC,27.10%,127,96,75.60%,96,13.50%,13.50%,0.00%,0.00%,0.00%,27.10%
James Sprunt CC,37.50%,15,8,53.30%,8,25.00%,12.50%,0.00%,0.00%,0.00%,37.50%
Johnston CC,33.30%,112,70,62.50%,72,0.00%,30.60%,2.80%,0.00%,0.00%,33.30%
Lenoir CC,32.50%,42,37,88.10%,40,2.50%,30.00%,0.00%,0.00%,0.00%,32.50%
Literacy Council of Buncombe County,20.00%,7,5,71.40%,5,0.00%,20.00%,0.00%,0.00%,0.00%,20.00%
Literacy Council of Union Co.,*,0,0,,0,*,*,*,*,*,*
Martin CC,*,5,4,80.00%,4,*,*,*,*,*,*
Mayland CC,35.10%,73,55,75.30%,57,1.80%,26.30%,7.00%,0.00%,0.00%,35.10%
McDowell TCC,28.60%,40,35,87.50%,35,8.60%,20.00%,0.00%,0.00%,0.00%,28.60%
Mitchell CC,46.20%,58,39,67.20%,39,0.00%,30.80%,15.40%,0.00%,0.00%,46.20%
Montgomery CC,50.00%,11,8,72.70%,8,0.00%,50.00%,0.00%,0.00%,0.00%,50.00%
"Motheread, Inc.",8.30%,37,36,97.30%,36,0.00%,5.60%,2.80%,0.00%,0.00%,8.30%
Nash CC,64.70%,23,17,73.90%,17,5.90%,58.80%,0.00%,0.00%,0.00%,64.70%
Orange County Literacy Council,*,2,2,100.00%,2,*,*,*,*,*,*
Pamlico CC,36.40%,16,11,68.80%,11,0.00%,27.30%,9.10%,0.00%,0.00%,36.40%
Piedmont CC,20.00%,15,15,100.00%,15,0.00%,20.00%,0.00%,0.00%,0.00%,20.00%
Pitt CC,45.00%,55,40,72.70%,40,10.00%,27.50%,7.50%,0.00%,0.00%,45.00%
Randolph CC,10.00%,44,30,68.20%,30,0.00%,3.30%,6.70%,0.00%,0.00%,10.00%
"Reading Connections, Inc.",0.00%,14,7,50.00%,7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Richmond CC,22.90%,137,107,78.10%,109,1.80%,19.30%,1.80%,0.00%,0.00%,22.90%
Roanoke Chowan CC,30.80%,14,13,92.90%,13,0.00%,30.80%,0.00%,0.00%,0.00%,30.80%
Robeson CC,42.90%,29,27,93.10%,28,21.40%,21.40%,0.00%,0.00%,0.00%,42.90%
Rockingham CC,68.20%,22,20,90.90%,22,13.60%,50.00%,4.50%,0.00%,0.00%,68.20%
Rockingham County Literacy Project,*,0,0,,0,*,*,*,*,*,*
Rowan-Cabarrus CC,34.10%,49,41,83.70%,41,0.00%,34.10%,0.00%,0.00%,0.00%,34.10%
Sampson CC,100.00%,11,9,81.80%,9,0.00%,88.90%,11.10%,0.00%,0.00%,100.00%
Sandhills CC,45.00%,26,20,76.90%,20,0.00%,45.00%,0.00%,0.00%,0.00%,45.00%
South Piedmont CC,46.20%,54,38,70.40%,39,2.60%,38.50%,5.10%,0.00%,0.00%,46.20%
Southeastern CC,17.00%,199,171,85.90%,176,0.00%,10.20%,6.30%,0.00%,0.60%,17.00%
Southwestern CC,32.00%,34,24,70.60%,25,4.00%,28.00%,0.00%,0.00%,0.00%,32.00%
Stanly CC,37.80%,172,142,82.60%,143,4.90%,11.20%,21.70%,0.00%,0.00%,37.80%
Surry CC,50.00%,36,25,69.40%,26,3.80%,42.30%,3.80%,0.00%,0.00%,50.00%
The Adult Literacy Program of Fayetteville Urban M,*,3,1,33.30%,1,*,*,*,*,*,*
Triangle Literacy Council,0.00%,5,5,100.00%,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Triangle South Literacy Works,*,3,1,33.30%,1,*,*,*,*,*,*
Tri-County CC,17.60%,44,34,77.30%,34,0.00%,17.60%,0.00%,0.00%,0.00%,17.60%
Vance-Granville CC,65.20%,51,46,90.20%,46,28.30%,37.00%,0.00%,0.00%,0.00%,65.20%
Wake TCC,37.70%,388,317,81.70%,326,12.60%,24.50%,0.60%,0.00%,0.00%,37.70%
Wayne CC,36.50%,81,69,85.20%,74,16.20%,20.30%,0.00%,0.00%,0.00%,36.50%
Western Piedmont CC,42.00%,62,50,80.60%,50,4.00%,38.00%,0.00%,0.00%,0.00%,42.00%
Wilkes CC,55.00%,22,19,86.40%,20,0.00%,55.00%,0.00%,0.00%,0.00%,55.00%
Wilson CC,19.20%,122,68,55.70%,73,4.10%,13.70%,0.00%,0.00%,1.40%,19.20%
YMCA Literacy Initiative,0.00%,7,7,100.00%,7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
