College Name,AdvESL_MeasureableSkills_Participant_POP_MSG,AdvESL_MeasureableSkills_IndividualsServed,AdvESL_MeasureableSkills_Participants12+Hours,AdvESL_MeasureableSkills_ParticipServed,AdvESL_MeasureableSkills_POPs,AdvESL_MeasureableSkills_AHSGrad,AdvESL_MeasureableSkills_HSE,"AdvESL_MeasureableSkills_Postsecondary
Enrollment",AdvESL_MeasureableSkills_AHSCredits,AdvESL_MeasureableSkills_Post-test,AdvESL_MeasureableSkills_MSG
Craven CC,2.90%,37,34,91.90%,35,0.00%,0.00%,0.00%,0.00%,2.90%,2.90%
Craven Literacy Council,16.70%,17,12,70.60%,12,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%
Davidson County CC,16.30%,41,41,100.00%,43,0.00%,0.00%,2.30%,0.00%,14.00%,16.30%
Durham County Literacy Council,9.40%,42,32,76.20%,32,0.00%,0.00%,0.00%,0.00%,9.40%,9.40%
Durham TCC,19.00%,369,286,77.50%,290,0.00%,0.00%,2.80%,0.00%,16.20%,19.00%
Edgecombe CC,0.00%,5,5,100.00%,5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Fayetteville TCC,38.50%,157,143,91.10%,143,0.00%,0.00%,4.20%,0.00%,34.30%,38.50%
Forsyth TCC,10.80%,218,190,87.20%,195,0.00%,0.50%,0.00%,0.00%,10.30%,10.80%
Gaston College,30.90%,61,52,85.20%,55,0.00%,0.00%,1.80%,0.00%,29.10%,30.90%
"Gaston Literacy Council, Inc.",30.00%,10,10,100.00%,10,0.00%,0.00%,0.00%,0.00%,30.00%,30.00%
Guilford TCC,8.70%,430,388,90.20%,392,0.00%,0.30%,1.80%,0.00%,6.60%,8.70%
Halifax CC,*,0,0,,0,*,*,*,*,*,*
Haywood CC,33.30%,6,6,100.00%,6,0.00%,16.70%,0.00%,0.00%,16.70%,33.30%
Isothermal CC,10.00%,28,20,71.40%,20,0.00%,5.00%,0.00%,0.00%,5.00%,10.00%
James Sprunt CC,33.30%,9,9,100.00%,9,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%
Johnston CC,41.90%,62,59,95.20%,62,0.00%,8.10%,0.00%,0.00%,33.90%,41.90%
Lenoir CC,20.50%,45,42,93.30%,44,0.00%,2.30%,2.30%,0.00%,15.90%,20.50%
Literacy Council of Buncombe County,19.60%,49,46,93.90%,46,0.00%,4.30%,0.00%,0.00%,15.20%,19.60%
Literacy Council of Union Co.,7.10%,14,14,100.00%,14,0.00%,0.00%,0.00%,0.00%,7.10%,7.10%
NC Total,22.30%,"4,278","3,727",87.10%,"3,815",0.00%,0.50%,1.50%,0.00%,20.20%,22.30%
Martin CC,*,0,0,,0,*,*,*,*,*,*
Mayland CC,33.30%,18,17,94.40%,18,5.60%,0.00%,5.60%,0.00%,22.20%,33.30%
McDowell TCC,25.00%,10,8,80.00%,8,0.00%,0.00%,12.50%,0.00%,12.50%,25.00%
Mitchell CC,11.50%,65,51,78.50%,52,0.00%,0.00%,0.00%,0.00%,11.50%,11.50%
Montgomery CC,9.10%,11,10,90.90%,11,0.00%,0.00%,0.00%,0.00%,9.10%,9.10%
"Motheread, Inc.",*,5,4,80.00%,4,*,*,*,*,*,*
Nash CC,21.70%,24,22,91.70%,23,0.00%,0.00%,0.00%,0.00%,21.70%,21.70%
Orange County Literacy Council,12.70%,92,54,58.70%,55,0.00%,0.00%,0.00%,0.00%,12.70%,12.70%
Pamlico CC,*,0,0,,0,*,*,*,*,*,*
Piedmont CC,*,2,2,100.00%,2,*,*,*,*,*,*
Pitt CC,22.40%,68,65,95.60%,67,0.00%,1.50%,0.00%,0.00%,20.90%,22.40%
Randolph CC,50.00%,7,6,85.70%,6,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%
"Reading Connections, Inc.",10.00%,11,10,90.90%,10,0.00%,0.00%,0.00%,0.00%,10.00%,10.00%
Richmond CC,0.00%,20,19,95.00%,19,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Roanoke Chowan CC,*,5,2,40.00%,2,*,*,*,*,*,*
Robeson CC,15.20%,34,31,91.20%,33,0.00%,3.00%,0.00%,0.00%,12.10%,15.20%
Rockingham CC,16.70%,14,12,85.70%,12,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%
Rockingham County Literacy Project,*,3,2,66.70%,2,*,*,*,*,*,*
Rowan-Cabarrus CC,31.60%,80,74,92.50%,76,0.00%,0.00%,0.00%,0.00%,31.60%,31.60%
Sampson CC,10.50%,20,19,95.00%,19,0.00%,0.00%,0.00%,0.00%,10.50%,10.50%
Sandhills CC,42.10%,41,37,90.20%,38,0.00%,0.00%,2.60%,0.00%,39.50%,42.10%
South Piedmont CC,26.60%,95,90,94.70%,94,0.00%,0.00%,0.00%,0.00%,26.60%,26.60%
Southeastern CC,*,0,0,,0,*,*,*,*,*,*
Southwestern CC,22.20%,47,35,74.50%,36,0.00%,0.00%,0.00%,0.00%,22.20%,22.20%
Stanly CC,0.00%,11,10,90.90%,11,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Surry CC,22.20%,25,25,100.00%,27,0.00%,0.00%,0.00%,0.00%,22.20%,22.20%
The Adult Literacy Program of Fayetteville Urban M,0.00%,5,4,80.00%,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Triangle Literacy Council,9.10%,21,11,52.40%,11,0.00%,0.00%,0.00%,0.00%,9.10%,9.10%
Triangle South Literacy Works,16.70%,7,6,85.70%,6,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%
Tri-County CC,*,4,1,25.00%,1,*,*,*,*,*,*
Vance-Granville CC,*,3,3,100.00%,3,*,*,*,*,*,*
Wake TCC,47.70%,370,355,95.90%,367,0.00%,0.00%,2.20%,0.00%,45.50%,47.70%
Wayne CC,21.30%,62,59,95.20%,61,0.00%,3.30%,3.30%,0.00%,14.80%,21.30%
Western Piedmont CC,36.40%,38,33,86.80%,33,0.00%,0.00%,6.10%,0.00%,30.30%,36.40%
Wilkes CC,46.70%,14,14,100.00%,15,0.00%,0.00%,0.00%,0.00%,46.70%,46.70%
Wilson CC,32.10%,33,28,84.80%,28,0.00%,0.00%,0.00%,0.00%,32.10%,32.10%
YMCA Literacy Initiative,30.80%,32,26,81.30%,26,0.00%,0.00%,0.00%,0.00%,30.80%,30.80%
