College Name,LowIntBasicEd_Participant_POP_MSG,LowIntBasicEd_IndividualsServed,LowIntBasicEd_Participants12+ Hours,LowIntBasicEd_Particip/Served,LowIntBasicEd_POPs,LowIntBasicEd_AHSGrad,LowIntBasicEd_HSE,LowIntBasicEd_Postsecondary,LowIntBasicEd_AHSCredits,LowIntBasicEd_Posttest,LowIntBasicEd_MSG
Montgomery CC,40.00%,47,39,83.00%,40,0.00%,7.50%,0.00%,0.00%,32.50%,40.00%
"Motheread, Inc.",20.00%,5,5,100.00%,5,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%
Nash CC,40.10%,195,160,82.10%,162,0.00%,3.10%,11.70%,0.00%,25.30%,40.10%
Orange County Literacy Council,53.80%,29,13,44.80%,13,0.00%,0.00%,0.00%,0.00%,53.80%,53.80%
Pamlico CC,63.90%,40,36,90.00%,36,0.00%,2.80%,0.00%,0.00%,61.10%,63.90%
Piedmont CC,32.70%,124,109,87.90%,113,0.00%,8.00%,0.90%,0.00%,23.90%,32.70%
Pitt CC,32.00%,378,332,87.80%,338,0.00%,1.80%,0.90%,0.00%,29.30%,32.00%
Randolph CC,34.70%,246,200,81.30%,202,1.00%,1.50%,1.50%,0.00%,30.70%,34.70%
"Reading Connections, Inc.",39.10%,115,69,60.00%,69,0.00%,1.40%,2.90%,0.00%,34.80%,39.10%
Richmond CC,36.60%,231,196,84.80%,205,0.00%,2.00%,2.40%,0.00%,32.20%,36.60%
Roanoke Chowan CC,25.00%,69,60,87.00%,60,0.00%,3.30%,5.00%,0.00%,16.70%,25.00%
Robeson CC,45.20%,204,183,89.70%,186,1.60%,2.20%,2.20%,0.00%,39.20%,45.20%
Rockingham CC,45.60%,177,165,93.20%,169,0.00%,10.70%,1.80%,0.00%,33.10%,45.60%
Rockingham County Literacy Project,0.00%,7,7,100.00%,7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Rowan-Cabarrus CC,25.30%,406,341,84.00%,348,0.00%,5.50%,1.10%,0.00%,18.70%,25.30%
Sampson CC,52.10%,184,166,90.20%,167,0.00%,18.00%,0.60%,0.00%,33.50%,52.10%
Sandhills CC,40.70%,101,89,88.10%,91,0.00%,4.40%,5.50%,0.00%,30.80%,40.70%
South Piedmont CC,30.90%,305,250,82.00%,256,0.00%,5.10%,1.20%,0.00%,24.60%,30.90%
Southeastern CC,47.80%,186,175,94.10%,184,0.00%,0.50%,3.30%,0.00%,44.00%,47.80%
Southwestern CC,35.70%,205,155,75.60%,157,0.00%,9.60%,0.60%,0.00%,25.50%,35.70%
Stanly CC,30.20%,227,181,79.70%,189,0.50%,17.50%,0.50%,0.00%,11.60%,30.20%
Surry CC,28.50%,190,154,81.10%,158,0.00%,7.00%,1.90%,0.00%,19.60%,28.50%
The Adult Literacy Program of Fayetteville Urban M,0.00%,13,10,76.90%,9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Triangle Literacy Council,39.10%,29,22,75.90%,23,0.00%,4.30%,4.30%,0.00%,30.40%,39.10%
Triangle South Literacy Works,16.70%,10,7,70.00%,6,0.00%,0.00%,0.00%,0.00%,16.70%,16.70%
Tri-County CC,63.30%,30,30,100.00%,30,0.00%,10.00%,0.00%,0.00%,53.30%,63.30%
Vance-Granville CC,31.30%,360,335,93.10%,336,4.20%,6.30%,1.50%,0.00%,19.30%,31.30%
Wake TCC,32.20%,838,778,92.80%,802,0.10%,1.90%,5.10%,0.00%,25.10%,32.20%
Wayne CC,47.30%,432,349,80.80%,357,0.30%,1.70%,0.60%,0.00%,44.80%,47.30%
Western Piedmont CC,24.70%,192,153,79.70%,158,0.00%,1.90%,1.30%,0.00%,21.50%,24.70%
Wilkes CC,42.10%,153,114,74.50%,114,0.00%,8.80%,4.40%,0.00%,28.90%,42.10%
Wilson CC,32.60%,186,124,66.70%,129,0.00%,0.00%,4.70%,0.00%,27.90%,32.60%
YMCA Literacy Initiative,*,0,0,,0,*,*,*,*,*,*
