UnitId,College Name,Associates_Total,Associates_Men_Number,Accosiates_Men_Percent,Associates_Women_Number,Associates_Women_Percent,AwardLess1Year_Total,AwardLess1Year_Men_Number,AwardLess1Year_Men_Percent,AwardLess1Year_Women_Number,AwardLess1Year_Women_Percent,AwardLess2Year_Total,AwardLess2Year_Men_Number,AwardLess2Year_Men_Percent,AwardLess2Year_Women_Number,AwardLess2Year_Women_Percent,Certificate_Total,Certificate_Men_Number,Certificate_Men_Percent,Certificate_Women_Number,Certificate_Women_Percent,Bachelors_Total,Bachelors_Men_Number,Bachelors_Men_Percent,Bachelors_Women_Number,Bachelors_Women_Percent
198455,Durham Technical Community College,482,193,40,289,60,422,207,49.1,215,50.9,55,19,34.5,36,65.5,477,226,47.4,251,52.6,,,,,
198464,East Carolina University,,,,,,,,,,,,,,,,,,,,,4344,1696,39,2648,61
198491,Edgecombe Community College,318,58,18.2,260,81.8,139,39,28.1,100,71.9,100,28,28,72,72,239,67,28,172,72,,,,,
198507,Elizabeth City State University,,,,,,,,,,,,,,,,,,,,,306,102,33.3,204,66.7
198543,Fayetteville State University,,,,,,,,,,,,,,,,,,,,,954,260,27.3,694,72.7
198534,Fayetteville Technical Community College,1913,927,48.5,986,51.5,2409,1461,60.6,948,39.4,159,52,32.7,107,67.3,2568,1513,58.9,1055,41.1,,,,,
198552,Forsyth Technical Community College,1083,427,39.4,656,60.6,424,192,45.3,232,54.7,184,55,29.9,129,70.1,608,247,40.6,361,59.4,,,,,
198570,Gaston College,729,250,34.3,479,65.7,736,327,44.4,409,55.6,93,24,25.8,69,74.2,829,351,42.3,478,57.7,,,,,
198622,Guilford Technical Community College,1334,596,44.7,738,55.3,58,55,94.8,3,5.2,1162,517,44.5,645,55.5,1220,572,46.9,648,53.1,,,,,
198640,Halifax Community College,155,37,23.9,118,76.1,418,276,66,142,34,52,10,19.2,42,80.8,470,286,60.9,184,39.1,,,,,
198668,Haywood Community College,278,98,35.3,180,64.7,284,180,63.4,104,36.6,41,22,53.7,19,46.3,325,202,62.2,123,37.8,,,,,
198710,Isothermal Community College,203,86,42.4,117,57.6,226,109,48.2,117,51.8,98,20,20.4,78,79.6,324,129,39.8,195,60.2,,,,,
198729,James Sprunt Community College,178,40,22.5,138,77.5,117,59,50.4,58,49.6,37,11,29.7,26,70.3,154,70,45.5,84,54.5,,,,,
198774,Johnston Community College,602,198,32.9,404,67.1,476,306,64.3,170,35.7,77,20,26,57,74,553,326,59,227,41,,,,,
198817,Lenoir Community College,385,168,43.6,217,56.4,97,44,45.4,53,54.6,45,8,17.8,37,82.2,142,52,36.6,90,63.4,,,,,
198905,Martin Community College,76,25,32.9,51,67.1,45,31,68.9,14,31.1,40,7,17.5,33,82.5,85,38,44.7,47,55.3,,,,,
198914,Mayland Community College,131,44,33.6,87,66.4,46,29,63,17,37,25,7,28,18,72,71,36,50.7,35,49.3,,,,,
198923,McDowell Technical Community College,116,49,42.2,67,57.8,25,9,36,16,64,40,8,20,32,80,65,17,26.2,48,73.8,,,,,
198941,Mercy School of Nursing,,,,,,,,,,,71,11,15.5,60,84.5,71,11,15.5,60,84.5,,,,,
198987,Mitchell Community College,433,127,29.3,306,70.7,137,62,45.3,75,54.7,33,7,21.2,26,78.8,170,69,40.6,101,59.4,,,,,
199023,Montgomery Community College,68,42,61.8,26,38.2,220,126,57.3,94,42.7,41,4,9.8,37,90.2,261,130,49.8,131,50.2,,,,,
199087,Nash Community College,406,158,38.9,248,61.1,339,186,54.9,153,45.1,33,3,9.1,30,90.9,372,189,50.8,183,49.2,,,,,
199102,North Carolina A & T State University,,,,,,,,,,,,,,,,,,,,,1503,630,41.9,873,58.1
199157,North Carolina Central University,,,,,,,,,,,,,,,,,,,,,1092,325,29.8,767,70.2
199193,North Carolina State University at Raleigh,118,97,82.2,21,17.8,,,,,,,,,,,,,,,,5664,3023,53.4,2641,46.6
199263,Pamlico Community College,47,12,25.5,35,74.5,278,226,81.3,52,18.7,22,1,4.5,21,95.5,300,227,75.7,73,24.3,,,,,
199324,Piedmont Community College,155,59,38.1,96,61.9,335,189,56.4,146,43.6,35,16,45.7,19,54.3,370,205,55.4,165,44.6,,,,,
199333,Pitt Community College,1193,466,39.1,727,60.9,692,250,36.1,442,63.9,157,63,40.1,94,59.9,849,313,36.9,536,63.1,,,,,
199421,Randolph Community College,471,157,33.3,314,66.7,212,154,72.6,58,27.4,81,53,65.4,28,34.6,293,207,70.6,86,29.4,,,,,
199449,Richmond Community College,345,115,33.3,230,66.7,398,157,39.4,241,60.6,25,9,36,16,64,423,166,39.2,257,60.8,,,,,
199467,Roanoke-Chowan Community College,96,26,27.1,70,72.9,61,37,60.7,24,39.3,,8,61.5,5,38.5,74,45,60.8,29,39.2,,,,,
199476,Robeson Community College,211,68,32.2,143,67.8,93,71,76.3,22,23.7,38,7,18.4,31,81.6,131,78,59.5,53,40.5,,,,,
199485,Rockingham Community College,226,97,42.9,129,57.1,117,80,68.4,37,31.6,67,21,31.3,46,68.7,184,101,54.9,83,45.1,,,,,
199494,Rowan-Cabarrus Community College,710,280,39.4,430,60.6,334,114,34.1,220,65.9,157,51,32.5,106,67.5,491,165,33.6,326,66.4,,,,,
199625,Sampson Community College,221,72,32.6,149,67.4,132,78,59.1,54,40.9,35,7,20,28,80,167,85,50.9,82,49.1,,,,,
199634,Sandhills Community College,581,201,34.6,380,65.4,156,101,64.7,55,35.3,58,14,24.1,44,75.9,214,115,53.7,99,46.3,,,,,
197850,South Piedmont Community College,244,75,30.7,169,69.3,174,76,43.7,98,56.3,36,4,11.1,32,88.9,210,80,38.1,130,61.9,,,,,
199722,Southeastern Community College,184,75,40.8,109,59.2,108,58,53.7,50,46.3,38,12,31.6,26,68.4,146,70,47.9,76,52.1,,,,,
199731,Southwestern Community College,437,146,33.4,291,66.6,54,13,24.1,41,75.9,125,43,34.4,82,65.6,179,56,31.3,123,68.7,,,,,
199740,Stanly Community College,371,108,29.1,263,70.9,245,155,63.3,90,36.7,102,39,38.2,63,61.8,347,194,55.9,153,44.1,,,,,
199768,Surry Community College,468,183,39.1,285,60.9,175,95,54.3,80,45.7,54,32,59.3,22,40.7,229,127,55.5,102,44.5,,,,,
199795,Tri-County Community College,180,51,28.3,129,71.7,8,2,25,6,75,19,12,63.2,7,36.8,27,14,51.9,13,48.1,,,,,
199111,University of North Carolina at Asheville,,,,,,,,,,,,,,,,,,,,,763,342,44.8,421,55.2
199120,University of North Carolina at Chapel Hill,,,,,,,,,,,,,,,,,,,,,4525,1837,40.6,2688,59.4
199139,University of North Carolina at Charlotte,,,,,,,,,,,,,,,,,,,,,4987,2474,49.6,2513,50.4
199148,University of North Carolina at Greensboro,,,,,,,,,,,,,,,,,,,,,2888,927,32.1,1961,67.9
199281,University of North Carolina at Pembroke,,,,,,,,,,,,,,,,,,,,,944,356,37.7,588,62.3
199184,University of North Carolina School of the Arts,,,,,,,,,,,,,,,,,,,,,168,84,50,84,50
199218,University of North Carolina Wilmington,,,,,,,,,,,,,,,,,,,,,3201,1187,37.1,2014,62.9
199838,Vance-Granville Community College,503,169,33.6,334,66.4,134,84,62.7,50,37.3,106,27,25.5,79,74.5,240,111,46.3,129,53.8,,,,,
199856,Wake Technical Community College,2464,1109,45,1355,55,1595,778,48.8,817,51.2,252,85,33.7,167,66.3,1847,863,46.7,984,53.3,,,,,
199892,Wayne Community College,597,250,41.9,347,58.1,443,303,68.4,140,31.6,128,49,38.3,79,61.7,571,352,61.6,219,38.4,,,,,
200004,Western Carolina University,,,,,,,,,,,,,,,,,,,,,1992,822,41.3,1170,58.7
199908,Western Piedmont Community College,295,121,41,174,59,83,60,72.3,23,27.7,30,2,6.7,28,93.3,113,62,54.9,51,45.1,,,,,
199926,Wilkes Community College,443,197,44.5,246,55.5,247,182,73.7,65,26.3,94,44,46.8,50,53.2,341,226,66.3,115,33.7,,,,,
199953,Wilson Community College,235,72,30.6,163,69.4,90,37,41.1,53,58.9,21,4,19,17,81,111,41,36.9,70,63.1,,,,,
199999,Winston-Salem State University,,,,,,,,,,,,,,,,,,,,,1121,268,23.9,853,76.1
